amt,fiitax_se,tfica_se,totfedtax_se,fiitax_wage,tfica_wage,totfedtax_wage
0,0,0,0,0,0,0
100,-7.1100001,14.13,7.02,-7.6500001,7.6500001,0
200,-14.22,28.26,14.04,-15.3,15.3,0
300,-21.33,42.389999,21.059999,-22.950001,22.950001,0
400,-28.440001,56.52,28.08,-30.6,30.6,0
500,-35.549999,70.650002,35.100002,-38.25,38.25,0
600,-42.66,84.779999,42.119999,-45.900002,45.900002,0
700,-49.77,98.910004,49.140003,-53.549999,53.549999,0
800,-56.880001,113.04,56.16,-61.200001,61.200001,0
900,-63.990002,127.17,63.179996,-68.849998,68.849998,0
1000,-71.099998,141.3,70.200005,-76.5,76.5,0
1100,-78.199997,155.42999,77.229996,-84.150002,84.150002,0
1200,-85.309998,169.55,84.240005,-91.800003,91.800003,0
1300,-92.419998,183.67999,91.259995,-99.449997,99.449997,0
1400,-99.529999,197.81,98.279999,-107.1,107.1,0
1500,-106.64,211.94,105.3,-114.75,114.75,0
1600,-113.75,226.07001,112.32001,-122.4,122.4,0
1700,-120.86,240.2,119.34,-130.05,130.05,0
1800,-127.97,254.33,126.36,-137.7,137.7,0
1900,-135.08,268.45999,133.37999,-145.35001,145.35001,0
2000,-142.19,282.59,140.39999,-153,153,0
2100,-149.3,296.72,147.42,-160.64999,160.64999,0
2200,-156.41,310.85001,154.44,-168.3,168.3,0
2300,-163.52,324.98001,161.46001,-175.95,175.95,0
2400,-170.63,339.10999,168.47998,-183.60001,183.60001,0
2500,-177.74001,353.23999,175.49998,-191.25,191.25,0
2600,-184.85001,367.37,182.51999,-198.89999,198.89999,0
2700,-191.96001,381.5,189.53999,-206.55,206.55,0
2800,-199.07001,395.63,196.56,-214.2,214.2,0
2900,-206.17999,409.76001,203.58002,-221.85001,221.85001,0
3000,-213.28999,423.89001,210.60002,-229.5,229.5,0
3100,-220.39999,438.01999,217.62,-237.14999,237.14999,0
3200,-227.50999,452.14999,224.64,-244.8,244.8,0
3300,-234.61,466.28,231.67,-252.45,252.45,0
3400,-241.72,480.39999,238.67999,-260.10001,260.10001,0
3500,-248.83,494.53,245.7,-267.75,267.75,0
3600,-255.94,508.66,252.72,-275.39999,275.39999,0
3700,-263.04999,522.78998,259.73999,-283.04999,283.04999,0
3800,-270.16,536.91998,266.75998,-290.70001,290.70001,0
3900,-277.26999,551.04999,273.78,-298.35001,298.35001,0
4000,-284.38,565.17999,280.79999,-306,306,0
4100,-291.48999,579.31,287.82001,-313.64999,313.64999,0
4200,-298.60001,593.44,294.84,-321.29999,321.29999,0
4300,-305.70999,607.57001,301.86002,-328.95001,328.95001,0
4400,-312.82001,621.70001,308.88,-336.60001,336.60001,0
4500,-319.92999,635.83002,315.90002,-344.25,344.25,0
4600,-327.04001,649.96002,322.92001,-351.89999,351.89999,0
4700,-334.14999,664.09003,329.94003,-359.54999,359.54999,0
4800,-341.26001,678.21997,336.95996,-367.20001,367.20001,0
4900,-348.37,692.34998,343.97998,-374.85001,374.85001,0
5000,-355.48001,706.47998,350.99997,-382.5,382.5,0
5100,-362.59,720.60999,358.01999,-390.14999,390.14999,0
5200,-369.70001,734.73999,365.03998,-397.79999,397.79999,0
5300,-376.81,748.87,372.06,-405.45001,405.45001,0
5400,-383.92001,763,379.07999,-413.10001,413.10001,0
5500,-391.01999,777.13,386.11002,-420.75,420.75,0
5600,-398.13,791.25,393.12,-428.39999,428.39999,0
5700,-405.23999,805.38,400.14001,-436.04999,436.04999,0
5800,-412.35001,819.51001,407.16,-443.70001,443.70001,0
5900,-419.45999,833.64001,414.18002,-451.35001,451.35001,0
6000,-426.57001,847.77002,421.20001,-459,459,0
6100,-433.67999,861.90002,428.22003,-466.64999,466.64999,0
6200,-440.79001,876.03003,435.24002,-474.29999,474.29999,0
6300,-447.89999,890.15997,442.25998,-481.95001,481.95001,0
6400,-455.01001,904.28998,449.27997,-489.60001,489.60001,0
6500,-462.12,918.41998,456.29999,-497.25,497.25,0
6600,-469.23001,932.54999,463.31998,-504.89999,504.89999,0
6700,-476.34,946.67999,470.34,-512.54999,512.54999,0
6800,-483.45001,960.81,477.35999,-520.20001,520.20001,0
6900,-490.56,974.94,484.38,-527.84998,527.84998,0
7000,-497.67001,989.07001,491.39999,-535.5,535.5,0
7100,-504.78,1003.2,498.42001,-543.15002,543.15002,0
7200,-511.89001,1017.33,505.44,-550.79999,550.79999,0
7300,-519,1031.46,512.45996,-558.45001,558.45001,0
7400,-526.10999,1045.59,519.47998,-566.09998,566.09998,0
7500,-533.21997,1059.72,526.5,-573.75,573.75,0
7600,-540.33002,1073.85,533.51996,-581.40002,581.40002,0
7700,-547.42999,1087.98,540.54999,-589.04999,589.04999,0
7800,-554.53998,1102.1,547.56,-596.70001,596.70001,0
7900,-561.65002,1116.23,554.57996,-599.65002,604.34998,4.6999512
8000,-568.76001,1130.36,561.59998,-599.65002,612,12.349976
8100,-575.87,1144.49,568.62,-599.65002,619.65002,20
8200,-582.97998,1158.62,575.64001,-599.65002,627.29999,27.649963
8300,-590.09003,1172.75,582.65997,-599.65002,634.95001,35.299988
8400,-597.20001,1186.88,589.67999,-599.65002,642.59998,42.949951
8500,-599.65002,1201.01,601.35999,-599.65002,650.25,50.599976
8600,-599.65002,1215.14,615.48999,-599.65002,657.90002,58.25
8700,-599.65002,1229.27,629.62,-599.65002,665.54999,65.899963
8800,-599.65002,1243.4,643.75,-599.65002,673.20001,73.549988
8900,-599.65002,1257.53,657.88,-599.65002,680.84998,81.199951
9000,-599.65002,1271.66,672.01001,-599.65002,688.5,88.849976
9100,-599.65002,1285.79,686.14001,-599.65002,696.15002,96.5
9200,-599.65002,1299.92,700.27002,-599.65002,703.79999,104.14996
9300,-599.65002,1314.05,714.40002,-599.65002,711.45001,111.79999
9400,-599.65002,1328.1801,728.53003,-599.65002,719.09998,119.44995
9500,-599.65002,1342.3101,742.66003,-599.65002,726.75,127.09998
9600,-599.65002,1356.4399,756.78992,-599.65002,734.40002,134.75
9700,-599.65002,1370.5699,770.91992,-599.65002,742.04999,142.39996
9800,-599.65002,1384.7,785.04993,-599.65002,749.70001,150.04999
9900,-599.65002,1398.83,799.17993,-592.65002,757.34998,164.69995
10000,-599.65002,1412.95,813.29993,-585,765,180
10100,-599.65002,1427.08,827.42993,-577.34998,772.65002,195.30005
10200,-599.65002,1441.21,841.55994,-569.70001,780.29999,210.59998
10300,-599.65002,1455.34,855.68994,-562.04999,787.95001,225.90002
10400,-599.65002,1469.47,869.81995,-554.40002,795.59998,241.19995
10500,-599.65002,1483.6,883.94995,-546.75,803.25,256.5
10600,-596.39001,1497.73,901.33997,-539.09998,810.90002,271.80005
10700,-589.28003,1511.86,922.57996,-531.45001,818.54999,287.09998
10800,-582.16998,1525.99,943.82001,-523.79999,826.20001,302.40002
10900,-575.06,1540.12,965.06,-516.15002,833.84998,317.69995
11000,-567.95001,1554.25,986.29999,-508.5,841.5,333
11100,-560.84003,1568.38,1007.54,-500.85001,849.15002,348.30002
11200,-553.72998,1582.51,1028.78,-493.20001,856.79999,363.59998
11300,-546.62,1596.64,1050.02,-485.54999,864.45001,378.90002
11400,-539.51001,1610.77,1071.26,-477.89999,872.09998,394.19998
11500,-532.40002,1624.9,1092.5,-470.25,879.75,409.5
11600,-525.28998,1639.03,1113.74,-462.60001,887.40002,424.80002
11700,-518.17999,1653.16,1134.98,-454.95001,895.04999,440.09998
11800,-511.07001,1667.29,1156.22,-447.29999,902.70001,455.40002
11900,-503.95999,1681.42,1177.4601,-439.64999,910.34998,470.69998
12000,-496.85001,1695.55,1198.7001,-432,918,486
12100,-489.73999,1709.6801,1219.9401,-424.35001,925.65002,501.30002
12200,-482.63,1723.8101,1241.1801,-416.70001,933.29999,516.59998
12300,-475.51999,1737.9301,1262.41,-409.04999,940.95001,531.90002
12400,-468.41,1752.0601,1283.65,-401.39999,948.59998,547.19995
12500,-461.29999,1766.1899,1304.8899,-393.75,956.25,562.5
12600,-454.19,1780.3199,1326.1299,-386.10001,963.90002,577.80005
12700,-447.09,1794.45,1347.36,-378.45001,971.54999,593.09998
12800,-439.98001,1808.58,1368.6,-370.79999,979.20001,608.40002
12900,-432.87,1822.71,1389.84,-363.14999,986.84998,623.69995
13000,-425.76001,1836.84,1411.08,-355.5,994.5,639
13100,-418.64999,1850.97,1432.3199,-347.85001,1002.15,654.30005
13200,-411.54001,1865.1,1453.5599,-340.20001,1009.8,669.59998
13300,-404.42999,1879.23,1474.8,-332.54999,1017.45,684.90002
13400,-397.32001,1893.36,1496.04,-324.89999,1025.1,700.19995
13500,-390.20999,1907.49,1517.28,-317.25,1032.75,715.5
13600,-383.10001,1921.62,1538.52,-309.60001,1040.4,730.80005
13700,-375.98999,1935.75,1559.76,-301.95001,1048.05,746.10004
13800,-368.88,1949.88,1581,-294.29999,1055.7,761.39996
